urn:liesmars:insitusensor:platform:Fujian-小浮标-北礵标,北礵
urn:liesmars:insitusensor:platform:Fujian-小浮标-大港湾标,大港湾
urn:liesmars:insitusensor:platform:Fujian-小浮标-斗尾港标,斗尾港
urn:liesmars:insitusensor:platform:Fujian-小浮标-黄岐标,黄岐
urn:liesmars:insitusensor:platform:Fujian-小浮标-闽江口1号标,闽江口1号
urn:liesmars:insitusensor:platform:Fujian-小浮标-平潭标,平潭
urn:liesmars:insitusensor:platform:Fujian-小浮标-泉州湾标,泉州湾
urn:liesmars:insitusensor:platform:Fujian-小浮标-榕海1号标,榕海1号
urn:liesmars:insitusensor:platform:Fujian-小浮标-牛山岛标,牛山岛
urn:liesmars:insitusensor:platform:Fujian-大浮标-1号标,1号大浮标
urn:liesmars:insitusensor:platform:Fujian-大浮标-2号标,1号大浮标
urn:liesmars:insitusensor:platform:Fujian-大浮标-3号标,1号大浮标
urn:liesmars:insitusensor:platform:Fujian-大浮标-4号标,1号大浮标
urn:liesmars:insitusensor:platform:Fujian-小浮标-古雷标,古雷
urn:liesmars:insitusensor:platform:Fujian-大浮标-海峡1号,海峡1号
urn:liesmars:insitusensor:platform:Fujian-大浮标-海峡2号,海峡2号
urn:liesmars:insitusensor:platform:Fujian-小浮标-湄洲标,湄洲
urn:liesmars:insitusensor:platform:Fujian-小浮标-东山湾标,东山湾
urn:liesmars:insitusensor:platform:Fujian-小浮标-嵛山标,嵛山
urn:liesmars:insitusensor:platform:Fujian-小浮标-大屿岛标,大屿岛
